Top 10 documents in the rank list
Query: 53 	 Pr: 0.16000 	 Re: 0.72727
Query: 54 	 Pr: 0.08000 	 Re: 0.40000
Query: 55 	 Pr: 0.16000 	 Re: 0.72727
Query: 56 	 Pr: 0.14000 	 Re: 0.63636
Query: 57 	 Pr: 0.12000 	 Re: 0.40000
Query: 58 	 Pr: 0.18000 	 Re: 0.90000
Query: 59 	 Pr: 0.04000 	 Re: 0.40000
Query: 60 	 Pr: 0.10000 	 Re: 0.83333
Query: 61 	 Pr: 0.10000 	 Re: 0.83333
Query: 62 	 Pr: 0.04000 	 Re: 0.33333
Query: 63 	 Pr: 0.04000 	 Re: 0.50000
Query: 64 	 Pr: 0.06000 	 Re: 1.00000
Query: 65 	 Pr: 0.22000 	 Re: 0.68750
Query: 66 	 Pr: 0.12000 	 Re: 1.00000
Query: 67 	 Pr: 0.24000 	 Re: 0.80000
Query: 68 	 Pr: 0.06000 	 Re: 0.50000
Query: 69 	 Pr: 0.06000 	 Re: 0.50000
Query: 70 	 Pr: 0.08000 	 Re: 0.36364
Query: 71 	 Pr: 0.08000 	 Re: 0.44444
Query: 72 	 Pr: 0.14000 	 Re: 0.38889
Query: 73 	 Pr: 0.24000 	 Re: 0.57143
Query: 74 	 Pr: 0.12000 	 Re: 0.85714
Query: 75 	 Pr: 0.04000 	 Re: 0.33333
Query: 76 	 Pr: 0.08000 	 Re: 0.50000
Query: 77 	 Pr: 0.14000 	 Re: 1.00000
Query: 78 	 Pr: 0.08000 	 Re: 1.00000
Query: 79 	 Pr: 0.08000 	 Re: 0.66667
Query: 80 	 Pr: 0.06000 	 Re: 0.60000
Query: 81 	 Pr: 0.06000 	 Re: 1.00000
Query: 82 	 Pr: 0.08000 	 Re: 0.66667
Query: 83 	 Pr: 0.06000 	 Re: 0.60000
Query: 84 	 Pr: 0.16000 	 Re: 0.66667
Query: 85 	 Pr: 0.02000 	 Re: 0.20000
Query: 86 	 Pr: 0.06000 	 Re: 1.00000
Query: 87 	 Pr: 0.02000 	 Re: 0.11111
Query: 88 	 Pr: 0.14000 	 Re: 1.00000
